"date","geography","geography code","Rural Urban","Variable: All usual residents; measures: Value","Variable: Males; measures: Value","Variable: Females; measures: Value","Variable: Lives in a household; measures: Value","Variable: Lives in a communal establishment; measures: Value","Variable: Schoolchild or full-time student aged 4 and over at their non term-time address; measures: Value","Variable: Area (Hectares); measures: Value","Variable: Density (number of persons per hectare); measures: Value"
"2011","AL - St Albans","AL - St Albans","Total",250427,123101,127326,245053,5374,4574,31044.95,8.1
"2011","B - Birmingham","B - Birmingham","Total",1904658,936024,968634,1875349,29309,18762,129635.27,14.7
"2011","BA - Bath","BA - Bath","Total",434166,212518,221648,421476,12690,7291,182254.82,2.4
"2011","BB - Blackburn","BB - Blackburn","Total",488917,241644,247273,483480,5437,5276,99303.29,4.9
"2011","BD - Bradford","BD - Bradford","Total",578336,284509,293827,570247,8089,5300,130241.13,4.4
"2011","BH - Bournemouth","BH - Bournemouth","Total",551987,269540,282447,541986,10001,6386,96944.45,5.7
"2011","BL - Bolton","BL - Bolton","Total",380259,187440,192819,377031,3228,4258,30457.63,12.5
"2011","BN - Brighton","BN - Brighton","Total",802831,390346,412485,785760,17071,8589,110142.84,7.3
"2011","BR - Bromley","BR - Bromley","Total",299293,143365,155928,297192,2101,4624,14393.46,20.8
"2011","BS - Bristol","BS - Bristol","Total",940241,464341,475900,923053,17188,10417,115844.53,8.1
"2011","CA - Carlisle","CA - Carlisle","Total",318244,156746,161498,313800,4444,3975,511323.16,0.6
"2011","CB - Cambridge","CB - Cambridge","Total",421467,211046,210421,400561,20906,6861,186636.33,2.3
"2011","CH - Chester","CH - Chester","Total",659743,320150,339593,653382,6361,7950,98550.57,6.7
"2011","CM - Chelmsford","CM - Chelmsford","Total",653492,319823,333669,646952,6540,9449,179595.53,3.6
"2011","CO - Colchester","CO - Colchester","Total",411418,200530,210888,402061,9357,5044,132033.86,3.1
"2011","CR - Croydon","CR - Croydon","Total",405982,197284,208698,401911,4071,5538,15280.12,26.6
