year,Area,Full-time,Full-time 31 to 48 hours worked,Full-time 49 or more hours worked
2021,London,3137424,2555494,581930
2021,Hartlepool,25787,22207,3580
2021,Middlesbrough,37410,32556,4854
2021,Redcar and Cleveland,37621,31940,5681
2021,Stockton-on-Tees,60758,52004,8754
2021,Darlington,35288,30500,4788
2021,County Durham,158850,137147,21703
2021,Northumberland,96363,80360,16003
2021,Newcastle upon Tyne,83263,72848,10415
2021,North Tyneside,69136,60931,8205
2021,South Tyneside,43973,38273,5700
2021,Sunderland,82448,73524,8924
2021,Gateshead,61983,54932,7051
2021,Halton,43038,37863,5175
2021,Warrington,75203,65546,9657
2021,Blackburn with Darwen,42983,38715,4268
2021,Blackpool,39717,34638,5079
2021,Cheshire East,136928,114307,22621
2021,Cheshire West and Chester,119051,101055,17996
2021,Cumberland,88333,75009,13324
2021,Westmorland and Furness,72875,59984,12891
2021,Bolton,85963,75764,10199
2021,Bury,62352,54514,7838
2021,Manchester,159858,142505,17353
2021,Oldham,66872,59308,7564
2021,Rochdale,66881,59047,7834
2021,Salford,92312,81921,10391
2021,Stockport,99605,86908,12697
2021,Tameside,76441,68222,8219
2021,Trafford,79902,68817,11085
2021,Wigan,112689,98905,13784
2021,Knowsley,49415,44340,5075
2021,Liverpool,140823,125475,15348
2021,St. Helens,60277,52995,7282
2021,Sefton,85551,74317,11234
2021,Wirral,96554,84595,11959
2021,Lancashire,388398,333283,55115
2021,"Kingston upon Hull, City of",83097,73103,9994
2021,East Riding of Yorkshire,107993,87911,20082
2021,North East Lincolnshire,47028,38913,8115
2021,North Lincolnshire,54021,45246,8775
2021,York,63527,54704,8823
2021,North Yorkshire,201507,160909,40598
2021,Barnsley,79688,68527,11161
2021,Doncaster,97976,83659,14317
2021,Rotherham,82770,71465,11305
2021,Sheffield,161711,142795,18916
2021,Bradford,146330,129284,17046
2021,Calderdale,64225,55532,8693
2021,Kirklees,129451,112439,17012
2021,Leeds,265162,231990,33172
2021,Wakefield,119470,103426,16044
2021,Derby,81170,72096,9074
2021,Leicester,101590,92168,9422
2021,Rutland,13058,10061,2997
2021,Nottingham,85961,76165,9796
2021,North Northamptonshire,132186,111942,20244
2021,West Northamptonshire,158940,134486,24454
2021,Derbyshire,265491,223936,41555
2021,Leicestershire,244587,206273,38314
2021,Lincolnshire,244273,199638,44635
2021,Nottinghamshire,274151,232785,41366
2021,"Herefordshire, County of",59889,47742,12147
2021,Telford and Wrekin,62866,54198,8668
2021,Stoke-on-Trent,80371,70790,9581
2021,Shropshire,104533,83886,20647
2021,Birmingham,296236,261443,34793
2021,Coventry,107104,95752,11352
2021,Dudley,101832,88508,13324
2021,Sandwell,98778,87725,11053
2021,Solihull,70077,59863,10214
2021,Walsall,82633,71975,10658
2021,Wolverhampton,79144,69418,9726
2021,Staffordshire,296524,248221,48303
2021,Warwickshire,210876,178051,32825
2021,Worcestershire,200326,168315,32011
2021,Peterborough,72796,62866,9930
2021,Luton,67701,59062,8639
2021,Southend-on-Sea,57506,48451,9055
2021,Thurrock,62967,53072,9895
2021,Bedford,66042,55968,10074
2021,Central Bedfordshire,110652,92934,17718
2021,Cambridgeshire,245063,204912,40151
2021,Essex,499101,410097,89004
2021,Hertfordshire,426739,352648,74091
2021,Norfolk,277735,229726,48009
2021,Suffolk,243728,200415,43313
2021,City of London,4466,2760,1706
2021,Barking and Dagenham,63701,55490,8211
2021,Barnet,126495,101785,24710
2021,Bexley,85404,73640,11764
2021,Brent,111477,93506,17971
2021,Bromley,118055,97180,20875
2021,Camden,75506,55453,20053
2021,Croydon,133836,114645,19191
2021,Ealing,124032,103442,20590
2021,Enfield,93045,79164,13881
2021,Greenwich,105100,87019,18081
2021,Hackney,94836,76457,18379
2021,Hammersmith and Fulham,75488,56608,18880
2021,Haringey,90915,74963,15952
2021,Harrow,88498,73682,14816
2021,Havering,89571,76496,13075
2021,Hillingdon,102289,87797,14492
2021,Hounslow,98479,84207,14272
2021,Islington,88074,67481,20593
2021,Kensington and Chelsea,51835,33155,18680
2021,Kingston upon Thames,60513,49806,10707
2021,Lambeth,140193,112911,27282
2021,Lewisham,111540,94030,17510
2021,Merton,81769,66670,15099
2021,Newham,110747,94325,16422
2021,Redbridge,96785,81723,15062
2021,Richmond upon Thames,71695,54047,17648
2021,Southwark,124980,99680,25300
2021,Sutton,75023,64135,10888
2021,Tower Hamlets,114555,90675,23880
2021,Waltham Forest,99628,84719,14909
2021,Wandsworth,151794,115966,35828
2021,Westminster,77104,51876,25228
2021,Medway,95737,79935,15802
2021,Bracknell Forest,49825,42029,7796
2021,West Berkshire,59957,49764,10193
2021,Reading,66198,57921,8277
2021,Slough,52728,46355,6373
2021,Windsor and Maidenhead,56230,44700,11530
2021,Wokingham,66271,55608,10663
2021,Milton Keynes,106792,92935,13857
2021,Brighton and Hove,92037,79077,12960
2021,Portsmouth,67252,57812,9440
2021,Southampton,82763,71148,11615
2021,Isle of Wight,36078,30756,5322
2021,Buckinghamshire,195139,157932,37207
2021,East Sussex,157679,130613,27066
2021,Hampshire,487101,406119,80982
2021,Kent,510265,417262,93003
2021,Oxfordshire,263197,220506,42691
2021,Surrey,420874,339316,81558
2021,West Sussex,284822,238706,46116
2021,Bath and North East Somerset,58928,49585,9343
2021,"Bristol, City of",167504,147056,20448
2021,North Somerset,69737,58675,11062
2021,South Gloucestershire,103828,90398,13430
2021,Plymouth,82892,71595,11297
2021,Torbay,37771,32078,5693
2021,Swindon,87635,77579,10056
2021,Cornwall,163435,134022,29413
2021,Isles of Scilly,768,597,171
2021,Wiltshire,177541,146830,30711
2021,"Bournemouth, Christchurch and Poole",125557,107607,17950
2021,Dorset,109402,89075,20327
2021,Somerset,182150,149364,32786
2021,Devon,239908,196007,43901
2021,Gloucestershire,216865,183663,33202
2021,Isle of Anglesey,19945,16493,3452
2021,Gwynedd,34797,28757,6040
2021,Conwy,32675,27174,5501
2021,Denbighshire,28087,23419,4668
2021,Flintshire,54002,46993,7009
2021,Wrexham,44537,38453,6084
2021,Ceredigion,19664,15454,4210
2021,Pembrokeshire,34494,26956,7538
2021,Carmarthenshire,57173,46871,10302
2021,Swansea,68098,59498,8600
2021,Neath Port Talbot,42074,36863,5211
2021,Bridgend,46142,40185,5957
2021,Vale of Glamorgan,41677,35437,6240
2021,Cardiff,111060,97640,13420
2021,Rhondda Cynon Taf,74553,65567,8986
2021,Caerphilly,56786,50176,6610
2021,Blaenau Gwent,21212,18817,2395
2021,Torfaen,29574,26129,3445
2021,Monmouthshire,29785,24311,5474
2021,Newport,52138,45562,6576
2021,Powys,41818,31754,10064
2021,Merthyr Tydfil,18592,16279,2313
