Prefix,Count
AL,266475
B,2026571
BA,466274
BB,516383
BD,605269
BH,578617
BL,403601
BN,838723
BR,319234
BS,1033005
CA,319675
CB,463822
CF,1035653
CH,676973
CM,707666
CO,448089
CR,439490
CT,501887
CV,899181
CW,342254
DA,469214
DE,774229
DG,60
DH,320953
DL,363985
DN,768723
DT,221019
DY,429559
E,1117915
EC,37264
EN,365585
EX,599921
FY,279731
GL,653953
GU,767867
HA,531124
HD,266048
HG,141129
HP,533352
HR,179733
HU,455808
HX,163450
IG,378322
IP,629123
KT,561706
L,892424
LA,331902
LD,50280
LE,1088272
LL,534061
LN,318262
LS,835922
LU,373762
M,1271054
ME,664160
MK,591394
N,886396
NE,1189862
NG,1222052
NN,742601
NP,500916
NR,766553
NW,574891
OL,493584
OX,680610
PE,972260
PL,566418
PO,854784
PR,550366
RG,860553
RH,583653
RM,583272
S,1389622
SA,735677
SE,1075088
SG,437311
SK,624922
SL,405122
SM,237911
SN,503724
SO,699993
SP,258089
SR,245199
SS,545242
ST,661965
SW,901325
SY,350587
TA,350087
TD,18022
TF,236282
TN,713871
TQ,299472
TR,319547
TS,613960
TW,542561
UB,416431
W,531401
WA,642982
WC,30668
WD,282046
WF,547784
WN,316899
WR,312662
WS,472232
WV,417097
YO,582897
