
"TS007A - Age by five-year age bands"
"ONS Crown Copyright Reserved [from Nomis on 28 April 2024]"
"Date       :","2021"

"Age","East","East Midlands","London","North East","North West","South East","South West","Wales","West Midlands","Yorkshire and The Humber"

"Total",6335075,4880051,8799725,2647013,7417397,9278066,5701184,3107493,5950759,5480778
"Aged 4 years and under",349144,253198,528956,134305,407653,495302,274446,155086,335390,298557
"Aged 5 to 9 years",380618,283318,531493,150473,445074,552246,311072,175925,368300,326103
"Aged 10 to 14 years",385077,290340,535442,154390,452407,568993,319626,182702,374417,332635
"Aged 15 to 19 years",343034,287260,489386,150109,430951,524049,313641,175770,357485,322976
"Aged 20 to 24 years",342373,306418,589185,162925,453698,516468,332200,187675,363419,347766
"Aged 25 to 29 years",387940,301166,786549,160734,476821,546006,332171,186460,373003,350889
"Aged 30 to 34 years",424411,319131,808343,167975,505938,603564,355940,196215,399937,367343
"Aged 35 to 39 years",417896,308032,735707,163402,485619,607726,344040,186231,383140,349826
"Aged 40 to 44 years",405843,292263,667284,152167,444805,604387,329473,175351,360431,323754
"Aged 45 to 49 years",410811,308370,593970,159017,458363,614717,349267,186077,370157,337972
"Aged 50 to 54 years",442832,346559,573792,183383,513521,657101,397216,215680,412745,380604
"Aged 55 to 59 years",432496,340031,511615,192337,512507,641094,406858,222672,395528,373906
"Aged 60 to 64 years",369476,292190,404585,175237,443722,542155,361602,199606,339572,327459
"Aged 65 to 69 years",319222,253818,306343,151649,375952,462272,323775,177641,293756,280709
"Aged 70 to 74 years",335984,260867,269137,148366,379530,481549,342899,181337,293867,284449
"Aged 75 to 79 years",246562,190813,189664,101260,269822,357688,256315,131497,225523,201128
"Aged 80 to 84 years",171263,127460,140664,73375,190185,249372,174316,88994,156961,142487
"Aged 85 years and over",170093,118817,137610,65909,170829,253377,176327,82574,147128,132215



